MålepunktsID,Fra,Til,Navn,Volum,Enhet,Kvalitet,Opprettet
1,2019-04-28T20:00+02:00[Europe/Oslo],2019-04-28T21:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,207",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T21:00+02:00[Europe/Oslo],2019-04-28T22:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,221",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T21:00+02:00[Europe/Oslo],2019-04-28T22:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,254",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T21:00+02:00[Europe/Oslo],2019-04-28T22:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,23",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T22:00+02:00[Europe/Oslo],2019-04-28T23:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,212",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T22:00+02:00[Europe/Oslo],2019-04-28T23:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,232",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T22:00+02:00[Europe/Oslo],2019-04-28T23:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,208",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-28T23:00+02:00[Europe/Oslo],2019-04-29T00:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,4",KWH,FPPC,2019-05-03T10:34:39+02:00[Europe/Oslo]
1,2019-04-28T23:00+02:00[Europe/Oslo],2019-04-29T00:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,263",KWH,PPC,2019-04-30T08:57:52+02:00[Europe/Oslo]
1,2019-04-28T23:00+02:00[Europe/Oslo],2019-04-29T00:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,696",KWH,PPC,2019-04-29T07:25:32+02:00[Europe/Oslo]
1,2019-04-29T00:00+02:00[Europe/Oslo],2019-04-29T01:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,673",KWH,FPPC,2019-05-05T11:26:29+02:00[Europe/Oslo]
1,2019-04-29T00:00+02:00[Europe/Oslo],2019-04-29T01:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,652",KWH,PPC,2019-05-01T08:56:39+02:00[Europe/Oslo]
1,2019-04-29T00:00+02:00[Europe/Oslo],2019-04-29T01:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,654",KWH,PPC,2019-04-30T07:23:57+02:00[Europe/Oslo]
1,2019-04-29T01:00+02:00[Europe/Oslo],2019-04-29T02:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,639",KWH,FPPC,2019-05-05T11:26:29+02:00[Europe/Oslo]
1,2019-04-29T01:00+02:00[Europe/Oslo],2019-04-29T02:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,629",KWH,PPC,2019-05-01T08:56:39+02:00[Europe/Oslo]
1,2019-04-29T01:00+02:00[Europe/Oslo],2019-04-29T02:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,63",KWH,PPC,2019-04-30T07:23:57+02:00[Europe/Oslo]
1,2019-04-29T02:00+02:00[Europe/Oslo],2019-04-29T03:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,62",KWH,FPPC,2019-05-05T11:26:29+02:00[Europe/Oslo]
1,2019-04-29T02:00+02:00[Europe/Oslo],2019-04-29T03:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,601",KWH,PPC,2019-05-01T08:56:39+02:00[Europe/Oslo]
1,2019-04-29T02:00+02:00[Europe/Oslo],2019-04-29T03:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,602",KWH,PPC,2019-04-30T07:23:57+02:00[Europe/Oslo]
1,2019-04-29T03:00+02:00[Europe/Oslo],2019-04-29T04:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,615",KWH,FPPC,2019-05-05T11:26:29+02:00[Europe/Oslo]
1,2019-04-29T03:00+02:00[Europe/Oslo],2019-04-29T04:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,795",KWH,PPC,2019-05-01T08:56:39+02:00[Europe/Oslo]
1,2019-04-29T03:00+02:00[Europe/Oslo],2019-04-29T04:00+02:00[Europe/Oslo],Elhub KWH 60 Profile Consumption,"0,796",KWH,PPC,2019-04-30T07:23:57+02:00[Europe/Oslo]
